condition,timepoint,c-Citrineperod,c-Citrineperodvar
"2% Glu,0 IPTG",937.2283333,1368.588259,3776.111422
"2% Glu,0 IPTG",947.8783333,1368.5426,3275.885433
"2% Glu,0 IPTG",958.5275,1357.788225,3998.500103
"2% Glu,0 IPTG",969.1783333,1364.797943,2736.771185
"2% Glu,0 IPTG",979.8283333,1363.008478,3131.893369
"2% Glu,0 IPTG",990.4791667,1359.279738,2561.569311
"2% Glu,0 IPTG",1001.128333,1364.767458,3254.303333
"2% Glu,0 IPTG",1011.778333,1369.711723,2449.540729
"2% Glu,0 IPTG",1022.428333,1349.516214,2963.918754
"2% Glu,0 IPTG",1033.079167,1352.989681,2793.109561
"2% Glu,0 IPTG",1043.73,1352.72344,2772.416267
"2% Glu,0 IPTG",1054.378333,1355.647931,3413.558944
"2% Glu,0 IPTG",1065.029167,1375.332704,3881.433101
"2% Glu,0 IPTG",1075.68,1354.330698,3223.367948
"2% Glu,0 IPTG",1086.33,1365.203319,4064.448971
"2% Glu,0 IPTG",1096.980833,1355.173023,2087.720948
"2% Glu,0 IPTG",1107.63,1354.790075,3386.450339
"2% Glu,0 IPTG",1118.280833,1357.434094,3372.331038
"2% Glu,0 IPTG",1128.93,1362.643774,3829.632833
"2% Glu,0 IPTG",1139.580833,1352.049628,3696.869035
"2% Glu,0 IPTG",1150.231667,1361.972102,3909.313289
"2% Glu,0 IPTG",1160.88,1353.190652,3966.585069
"2% Glu,0 IPTG",1171.530833,1345.552388,4211.923106
"2% Glu,0 IPTG",1182.180833,1354.07085,4759.681041
"2% Glu,0 IPTG",1192.8325,1355.536683,4357.871861
"2% Glu,0 IPTG",1203.4825,1359.758301,4034.096687
"2% Glu,0 IPTG",1214.133333,1365.211624,3584.152927
"2% Glu,0 IPTG",1224.781667,1350.267277,4779.50549
"2% Glu,0 IPTG",1235.433333,1365.512144,5412.346801
"2% Glu,0 IPTG",1246.0825,1357.315008,4459.511724
"2% Glu,0 IPTG",1256.7325,1347.163189,6417.375294
"2% Glu,0 IPTG",1267.384167,1336.580805,4343.411979
"2% Glu,0 IPTG",1278.035,1347.733142,4096.037887
"2% Glu,0 IPTG",1288.684167,1360.085197,5669.366238
"2% Glu,0 IPTG",1299.334167,1363.871393,6010.816325
"2% Glu,0 IPTG",1309.985,1372.60031,6201.39201
"2% Glu,0 IPTG",1320.635,1377.424612,5551.100822
"2% Glu,0 IPTG",1331.285,1360.609,7200.653297
"2% Glu,0 IPTG",1341.935833,1362.736782,5199.249599
"2% Glu,0 IPTG",1352.584167,1357.102326,5355.531179
"2% Glu,0 IPTG",1363.235833,1350.038841,5866.45193
"2% Glu,0 IPTG",1373.885,1348.655513,6408.399452
"2% Glu,0 IPTG",1384.535833,1349.22055,6321.815963
"2% Glu,0 IPTG",1395.196667,1360.640857,7290.773242
"2% Glu,0 IPTG",1405.835833,1360.08451,6155.905689
"2% Glu,1 IPTG",0,1240.502342,12735.19037
"2% Glu,1 IPTG",10.65916667,1144.551364,9874.161212
"2% Glu,1 IPTG",21.30833333,1107.525727,11145.49265
"2% Glu,1 IPTG",31.9575,1125.111916,10267.57008
"2% Glu,1 IPTG",42.60666667,1120.705326,10289.32747
"2% Glu,1 IPTG",53.25666667,1148.450711,3830.188517
"2% Glu,1 IPTG",63.90583333,1237.854791,4725.680092
"2% Glu,1 IPTG",74.55583333,1316.433536,7876.580933
"2% Glu,1 IPTG",85.205,1390.894508,17027.67332
